"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"14195.86499966681","recaptcha.html","external-html","0","14270","0.0-0.0","","","","","","",""
"27147.789999842644","consent/consent.html","external-html","1","41728","0.0-1.0","","","","","","",""
"3123.7949999049306","","html-button-response","2","44855","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"9179.37000002712","","html-button-response","3","56039","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"30149.459999985993","","html-button-response","4","86191","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"9698.420000262558","","html-button-response","5","95895","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>","0","test","type","complex","0",""
"44439.544999971986","","survey-text","6","140345","0.0-4.0","","","comment","","","","{""Q0"":""colour box""}"
"4787.255000323057","","html-button-response","7","145134","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
