"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"10144.514999999956","recaptcha.html","external-html","0","10169","0.0-0.0","","","","","","",""
"29497.209999999995","consent/consent.html","external-html","1","41005","0.0-1.0","","","","","","",""
"6882.290000000008","","html-button-response","2","47896","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"17872.724999999955","","html-button-response","3","67773","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"15333.12999999999","","html-button-response","4","83110","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"18521.899999999965","","html-button-response","5","101636","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","entropy","simple","1",""
"57793.88500000004","","survey-text","6","159461","0.0-4.0","","","comment","","","","{""Q0"":""It has more stars, that may have surprised him""}"
"2165.61500000002","","html-button-response","7","161629","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
