"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"23510.16500001424","recaptcha.html","external-html","0","23673","0.0-0.0","","","","","","",""
"60087.80000000843","consent/consent.html","external-html","1","84864","0.0-1.0","","","","","","",""
"5923.974999983329","","html-button-response","2","90793","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"18884.250000002794","","html-button-response","3","111682","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"43692.860000010114","","html-button-response","4","155382","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"23519.77500002249","","html-button-response","5","178913","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","type","simple","1",""
"26924.729999998817","","survey-text","6","205844","0.0-4.0","","","comment","","","","{""Q0"":""IT'S THE CORRECT BOX""}"
"2636.254999990342","","html-button-response","7","208482","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
