"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"4060.8500000089407","recaptcha.html","external-html","0","4085","0.0-0.0","","","","","","",""
"16066.63000001572","consent/consent.html","external-html","1","20187","0.0-1.0","","","","","","",""
"2419.60999998264","","html-button-response","2","22610","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"11254.16999985464","","html-button-response","3","35869","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"5602.554999990389","","html-button-response","4","41474","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"10356.424999888986","","html-button-response","5","51835","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","entropy","simple","1",""
"11413.824999937788","","survey-text","6","63255","0.0-4.0","","","comment","","","","{""Q0"":""More blue orbs""}"
"1313.300000037998","","html-button-response","7","64570","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
