rt,url,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,test_part,boxes_type,utt_type,correct_side,responses,subid,accuracy
79439.49500005692,NA,html-button-response,4,116123,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,xiri_eyat_szgf,NA
4867.190000135452,NA,html-button-response,5,120992,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>",1,test,type,simple,1,NA,xiri_eyat_szgf,1
169567.095000064,NA,survey-text,6,290564,0.0-4.0,NA,NA,comment,NA,NA,NA,Alien is saying to take so i thing the more items with different things,xiri_eyat_szgf,NA
1746.7999998480082,NA,html-button-response,7,292312,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,xiri_eyat_szgf,NA
15589.044999999714,recaptcha.html,external-html,0,15978,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,xljp_atfd_ovic,NA
116108.63500000004,consent/consent.html,external-html,1,132361,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,xljp_atfd_ovic,NA
9086.040000000125,NA,html-button-response,2,141455,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,xljp_atfd_ovic,NA
25642.9449999996,NA,html-button-response,3,169103,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,xljp_atfd_ovic,NA
16620.12500000035,NA,html-button-response,4,185732,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,xljp_atfd_ovic,NA
7362.5999999999185,NA,html-button-response,5,193093,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>",1,test,num,complex,0,NA,xljp_atfd_ovic,0
29385.56999999992,NA,survey-text,6,222489,0.0-4.0,NA,NA,comment,NA,NA,NA,"Dax used a lot of words, and there were a lot of items in this box, for him to describe.",xljp_atfd_ovic,NA
2941.295000000071,NA,html-button-response,7,225433,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,xljp_atfd_ovic,NA
