"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"50502.86499999493","recaptcha.html","external-html","0","50520","0.0-0.0","","","","","","",""
"9403.9300000004","consent/consent.html","external-html","1","60320","0.0-1.0","","","","","","",""
"1927.5550000020303","","html-button-response","2","62251","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"11558.929999999236","","html-button-response","3","75820","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"2217.114999999467","","html-button-response","4","78040","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"2608.6599999980535","","html-button-response","5","80651","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>","0","test","num","complex","0",""
"7065.630000004603","","survey-text","6","87720","0.0-4.0","","","comment","","","","{""Q0"":""more particulars""}"
"1758.495000001858","","html-button-response","7","89480","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
