"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"100170.00000004191","recaptcha.html","external-html","0","100524","0.0-0.0","","","","","","",""
"47549.99999993015","consent/consent.html","external-html","1","149572","0.0-1.0","","","","","","",""
"4789.999999920838","","html-button-response","2","154367","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"41221.99999995064","","html-button-response","3","197594","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"21829.99999995809","","html-button-response","4","219424","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"27382.00000009965","","html-button-response","5","246807","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","type","simple","1",""
"129768.00000004005","","survey-text","6","376582","0.0-4.0","","","comment","","","","{""Q0"":""Because it is like a rain drop""}"
"5511.999999987893","","html-button-response","7","382100","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
