"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"115704.52999975532","recaptcha.html","external-html","0","115779","0.0-0.0","","","","","","",""
"15116.880000103265","consent/consent.html","external-html","1","131271","0.0-1.0","","","","","","",""
"1697.6749999448657","","html-button-response","2","132973","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"4970.724999904633","","html-button-response","3","139961","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"4407.889999914914","","html-button-response","4","144372","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"8676.105000078678","","html-button-response","5","153051","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","type","simple","0",""
"22657.31000015512","","survey-text","6","175718","0.0-4.0","","","comment","","","","{""Q0"":""good looking""}"
"2025.160000193864","","html-button-response","7","177745","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
