"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"29101.620000001276","recaptcha.html","external-html","0","29167","0.0-0.0","","","","","","",""
"7673.7300000004325","consent/consent.html","external-html","1","36883","0.0-1.0","","","","","","",""
"3059.914999999819","","html-button-response","2","39949","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"2353.5499999998137","","html-button-response","3","44306","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"2467.529999999897","","html-button-response","4","46779","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"1860.5399999996735","","html-button-response","5","48644","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","type","simple","0",""
"23936.775000000125","","survey-text","6","72589","0.0-4.0","","","comment","","","","{""Q0"":""wounderful""}"
"979.9999999995634","","html-button-response","7","73572","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
