"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"23823.254999999335","recaptcha.html","external-html","0","24239","0.0-0.0","","","","","","",""
"19341.975000001185","consent/consent.html","external-html","1","44719","0.0-1.0","","","","","","",""
"1898.5700000012002","","html-button-response","2","46625","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"8682.080000000497","","html-button-response","3","57313","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"8368.37000000014","","html-button-response","4","65688","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"4857.8899999993155","","html-button-response","5","70552","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>","0","test","type","complex","0",""
"8983.594999999696","","survey-text","6","79546","0.0-4.0","","","comment","","","","{""Q0"":""wonderful""}"
"3538.270000000921","","html-button-response","7","83088","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
