"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"30835.290000002715","recaptcha.html","external-html","0","30941","0.0-0.0","","","","","","",""
"27811.94999998843","consent/consent.html","external-html","1","58865","0.0-1.0","","","","","","",""
"2649.3499999924097","","html-button-response","2","61518","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"5389.414999997825","","html-button-response","3","68915","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"4157.820000007632","","html-button-response","4","73076","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"5866.355000005569","","html-button-response","5","78949","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","entropy","simple","1",""
"20214.60500000103","","survey-text","6","99187","0.0-4.0","","","comment","","","","{""Q0"":""Was good""}"
"2976.5000000043074","","html-button-response","7","102166","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
