"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"26955.060000000005","recaptcha.html","external-html","0","27450","0.0-0.0","","","","","","",""
"33817.1749999999","consent/consent.html","external-html","1","63433","0.0-1.0","","","","","","",""
"7550.739999999903","","html-button-response","2","70994","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"14589.065000000119","","html-button-response","3","87590","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"300.2000000001426","","html-button-response","4","87900","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"12978.965000000011","","html-button-response","5","100886","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","entropy","simple","1",""
"33891.27499999995","","survey-text","6","134792","0.0-4.0","","","comment","","","","{""Q0"":""Because of the focus  of the Alien""}"
"4178.495000000112","","html-button-response","7","138976","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
