"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"13704.149999888614","recaptcha.html","external-html","0","13877","0.0-0.0","","","","","","",""
"6013.180000009015","consent/consent.html","external-html","1","20394","0.0-1.0","","","","","","",""
"1422.0300000160933","","html-button-response","2","21819","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"2189.344999846071","","html-button-response","3","26010","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"35229.97500002384","","html-button-response","4","61244","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"6244.8450000956655","","html-button-response","5","67491","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>","1","test","type","complex","1",""
"15893.775000004098","","survey-text","6","83388","0.0-4.0","","","comment","","","","{""Q0"":""BECAUSE IT HAS DIFFERENT SHAPE THINGS""}"
"1062.7749999985099","","html-button-response","7","84452","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
