"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"3561.744999984512","recaptcha.html","external-html","0","3622","0.0-0.0","","","","","","",""
"32515.660000004573","consent/consent.html","external-html","1","36152","0.0-1.0","","","","","","",""
"950.1600000075996","","html-button-response","2","37110","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"1708.104999997886","","html-button-response","3","40822","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"4573.514999996405","","html-button-response","4","45397","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"6835.015000018757","","html-button-response","5","52233","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","num","simple","1",""
"8978.570000006584","","survey-text","6","61216","0.0-4.0","","","comment","","","","{""Q0"":""it has more circles""}"
"1738.454999984242","","html-button-response","7","62956","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
