"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"15247.590000042692","recaptcha.html","external-html","0","15263","0.0-0.0","","","","","","",""
"9183.740000007674","consent/consent.html","external-html","1","24462","0.0-1.0","","","","","","",""
"1767.7549999207258","","html-button-response","2","26232","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"2787.239999976009","","html-button-response","3","31022","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"3597.3999998532236","","html-button-response","4","34622","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"6678.305000066757","","html-button-response","5","41303","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>","0","test","entropy","complex","0",""
"3675.380000146106","","survey-text","6","44981","0.0-4.0","","","comment","","","","{""Q0"":""CANDIES""}"
"1347.9850001167506","","html-button-response","7","46331","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
