"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"4502.9549999162555","recaptcha.html","external-html","0","4519","0.0-0.0","","","","","","",""
"16859.88499992527","consent/consent.html","external-html","1","21393","0.0-1.0","","","","","","",""
"1274.8949998058379","","html-button-response","2","22671","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"4792.669999878854","","html-button-response","3","29466","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"5025.389999849722","","html-button-response","4","34494","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"4083.2249999511987","","html-button-response","5","38580","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>","0","test","type","complex","0",""
"30884.544999804348","","survey-text","6","69468","0.0-4.0","","","comment","","","","{""Q0"":""It had many different objects inside, not just the same kind of object""}"
"927.4550001136959","","html-button-response","7","70397","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
