"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"8951.999999932013","recaptcha.html","external-html","0","9102","0.0-0.0","","","","","","",""
"7156.000000075437","consent/consent.html","external-html","1","16331","0.0-1.0","","","","","","",""
"1304.9999999348074","","html-button-response","2","17646","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"1508.9999999618158","","html-button-response","3","21177","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"2636.999999987893","","html-button-response","4","23817","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"3462.000000057742","","html-button-response","5","27280","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>","0","test","type","complex","0",""
"23895.000000018626","","survey-text","6","51187","0.0-4.0","","","comment","","","","{""Q0"":""Because it said one word o its all are same color so mentioned as one single word""}"
"2928.000000072643","","html-button-response","7","54120","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
