"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"10735.774999950081","recaptcha.html","external-html","0","10753","0.0-0.0","","","","","","",""
"19890.464999945834","consent/consent.html","external-html","1","31846","0.0-1.0","","","","","","",""
"1406.3049999531358","","html-button-response","2","33254","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"7760.630000033416","","html-button-response","3","43030","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"12989.289999939501","","html-button-response","4","56022","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"3277.940000058152","","html-button-response","5","59302","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","num","simple","0",""
"47877.42999999318","","survey-text","6","107182","0.0-4.0","","","comment","","","","{""Q0"":""only two ball""}"
"1613.8999999966472","","html-button-response","7","108797","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
