"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","button_pressed","test_part","boxes_type","utt_type","correct_side","responses"
"14992.80000012368","recaptcha.html","external-html","0","15007","0.0-0.0","","","","","","",""
"10951.829999918118","consent/consent.html","external-html","1","25965","0.0-1.0","","","","","","",""
"2668.5450000222772","","html-button-response","2","28636","0.0-2.0","<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.","0","setup","","","",""
"2247.3649999592453","","html-button-response","3","32895","0.0-3.0-0.0","<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>","0","setup","","","",""
"2848.354999907315","","html-button-response","4","35745","0.0-3.0-1.0","<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>","0","setup","","","",""
"3078.3400000073016","","html-button-response","5","38825","0.0-3.0-2.0","<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>","0","test","entropy","simple","1",""
"2397.4249998573214","","survey-text","6","41226","0.0-4.0","","","comment","","","","{""Q0"":""""}"
"2008.1850001588464","","html-button-response","7","43235","0.0-5.0","<p>This is the end of the study. Thank you for participating!</p>","0","","","","",""
